entityId,companyName,legalName,registrationNumber,dateOfIncorporation,jurisdictionOfIncorporation,companyType,primaryAddress,website,assignedOfficerId,internalRiskRating,entityStatus,complianceReadinessStatus
ent_001,Summit Capital,Summit Capital LLC,ACORP-FIN-00123,43539,"Delaware, United States",Private Limited Company,"1000 Main Street, New York, NY, USA",https://summitcapital.example.com,reg_002,,Licensed,Ready for Compliance Check
ent_002,Summit Financial,Summit Financial LLC,BBANK-PLC-00888,44013,"Delaware, United States",Public Limited Company,"1001 Main Street, Chicago, IL, USA",https://summitfinancial.example.com,reg_003,,Licensed,Compliance Submission Pending
ent_003,Summit Investments,Summit Investments LLC,GCTS-INC-00555,44216,"Delaware, United States",International Business Company,"1002 Main Street, Los Angeles, CA, USA",https://summitinvestments.example.com,reg_007,,Licensed,Under Active Review
ent_004,Summit Holdings,Summit Holdings LLC,DDACS-LLC-07890,44691,"Delaware, United States",Limited Liability Company,"1003 Main Street, San Francisco, CA, USA",https://summitholdings.example.com,reg_004,,Licensed,Ready for Compliance Check
ent_005,Summit Advisors,Summit Advisors LLC,EPSLN-EMI-00321,44985,"Delaware, United States",Private Limited Company,"1004 Main Street, Dallas, TX, USA",https://summitadvisors.example.com,reg_005,,Licensed,Compliance Submission Pending
ent_006,Summit Trust,Summit Trust LLC,ZETA-P2P-01010,44866,"Delaware, United States",Incorporated Company,"1005 Main Street, Miami, FL, USA",https://summittrust.example.com,reg_001,,Licensed,Under Active Review
ent_007,Summit Partners,Summit Partners LLC,ETAFX-LTD-00777,43271,"Delaware, United States",Private Limited Company,"1006 Main Street, Boston, MA, USA",https://summitpartners.example.com,reg_008,,Licensed,Ready for Compliance Check
ent_008,Summit Capital Management,Summit Capital Management LLC,THETA-ITG-00999,43717,"Delaware, United States",Public Limited Company,"1007 Main Street, Atlanta, GA, USA",https://summitcapitalmanagement.example.com,reg_002,,Licensed,Compliance Submission Pending
ent_009,Summit Asset Management,Summit Asset Management LLC,IOTA-GRC-01212,44391,"Delaware, United States",Corporation,"1008 Main Street, Seattle, WA, USA",https://summitassetmanagement.example.com,reg_003,,Licensed,Under Active Review
ent_010,Summit Finance Group,Summit Finance Group LLC,KAPPA-DWM-00456,43937,"Delaware, United States",Société à Responsabilité Limitée (SARL),"1009 Main Street, Denver, CO, USA",https://summitfinancegroup.example.com,reg_007,,Licensed,Ready for Compliance Check
ent_011,Horizon Capital,Horizon Capital LLC,LAMBDA-ECP-00654,45139,"Delaware, United States",Société Anonyme (S.A.),"10010 Main Street, Phoenix, AZ, USA",https://horizoncapital.example.com,reg_004,,Licensed,Compliance Submission Pending
ent_012,Horizon Financial,Horizon Financial LLC,MU-MICRO-00112,44576,"Delaware, United States",Non-Profit Organization,"10011 Main Street, Portland, OR, USA",https://horizonfinancial.example.com,reg_005,,Licensed,Under Active Review
ent_013,Horizon Investments,Horizon Investments LLC,NUGEN-DB-00223,45015,"Delaware, United States",Corporation,"10012 Main Street, Houston, TX, USA",https://horizoninvestments.example.com,reg_006,,Licensed,Ready for Compliance Check
ent_014,Horizon Holdings,Horizon Holdings LLC,XIGM-PLC-00334,43018,"Delaware, United States",Public Limited Company,"10013 Main Street, Charlotte, NC, USA",https://horizonholdings.example.com,reg_001,,Licensed,Compliance Submission Pending
ent_015,Horizon Advisors,Horizon Advisors LLC,OMICRON-API-00445,44795,"Delaware, United States",Private Limited Company,"10014 Main Street, Detroit, MI, USA",https://horizonadvisors.example.com,reg_008,,Licensed,Under Active Review
ent_016,Horizon Trust,Horizon Trust LLC,PI-VC-LTD-00556,45200,"Delaware, United States",Private Limited Company,"10015 Main Street, Philadelphia, PA, USA",https://horizontrust.example.com,reg_006,,Licensed,Ready for Compliance Check
ent_017,Horizon Partners,Horizon Partners LLC,RHO-REG-SA-00789,44270,"Delaware, United States",Société Anonyme (S.A.),"10016 Main Street, Minneapolis, MN, USA",https://horizonpartners.example.com,reg_004,,Licensed,Compliance Submission Pending
ent_018,Horizon Capital Management,Horizon Capital Management LLC,SIGMA-AI-LTD-00890,45066,"Delaware, United States",Private Limited Company,"10017 Main Street, Las Vegas, NV, USA",https://horizoncapitalmanagement.example.com,reg_007,,Licensed,Under Active Review
ent_019,Horizon Asset Management,Horizon Asset Management LLC,TAU-DFP-INC-00901,44896,"Delaware, United States",Incorporated Company,"10018 Main Street, San Diego, CA, USA",https://horizonassetmanagement.example.com,reg_005,,Licensed,Ready for Compliance Check
ent_020,Horizon Finance Group,Horizon Finance Group LLC,UPSILON-GXG-01110,42527,"Delaware, United States",Global Business Company Category 1,"10019 Main Street, Baltimore, MD, USA",https://horizonfinancegroup.example.com,reg_001,,Licensed,Compliance Submission Pending
ent_021,Pioneer Capital,Pioneer Capital LLC,PHI-SAP-LLP-01221,44089,"Delaware, United States",Limited Liability Partnership,"10020 Main Street, Austin, TX, USA",https://pioneercapital.example.com,reg_008,,Licensed,Under Active Review
ent_022,Pioneer Financial,Pioneer Financial LLC,CHI-STS-LTD-01332,43774,"Delaware, United States",Private Limited Company,"10021 Main Street, Columbus, OH, USA",https://pioneerfinancial.example.com,reg_006,,Licensed,Ready for Compliance Check
ent_023,Pioneer Investments,Pioneer Investments LLC,PSI-AIS-PLC-01443,44722,"Delaware, United States",Public Limited Company,"10022 Main Street, Salt Lake City, UT, USA",https://pioneerinvestments.example.com,reg_008,,Licensed,Compliance Submission Pending
ent_024,Pioneer Holdings,Pioneer Holdings LLC,OMEGA-DEX-LTD-01554,44464,"Delaware, United States",Private Limited Company,"10023 Main Street, Kansas City, MO, USA",https://pioneerholdings.example.com,reg_001,,Licensed,Under Active Review
ent_025,Pioneer Advisors,Pioneer Advisors LLC,AETHER-GPS-01665,43110,"Delaware, United States",International Corporation,"10024 Main Street, Tampa, FL, USA",https://pioneeradvisors.example.com,reg_002,,Licensed,Ready for Compliance Check
ent_026,Pioneer Trust,Pioneer Trust LLC,BLDRN-FC-01776,45296,"Delaware, United States",Kabushiki Kaisha (K.K.),"10025 Main Street, Indianapolis, IN, USA",https://pioneertrust.example.com,reg_003,,Licensed,Compliance Submission Pending
ent_027,Pioneer Partners,Pioneer Partners LLC,STAR-INV-LLC-01887,44628,"Delaware, United States",Limited Liability Company,"10026 Main Street, Cleveland, OH, USA",https://pioneerpartners.example.com,reg_004,,Licensed,Under Active Review
ent_028,Pioneer Capital Management,Pioneer Capital Management LLC,GAL-DAM-01998,44180,"Delaware, United States",Private Limited Company,"10027 Main Street, Pittsburgh, PA, USA",https://pioneercapitalmanagement.example.com,reg_002,,Licensed,Ready for Compliance Check
ent_029,Pioneer Asset Management,Pioneer Asset Management LLC,QSS-INC-02001,45026,"Delaware, United States",Incorporated Company,"10028 Main Street, Nashville, TN, USA",https://pioneerassetmanagement.example.com,reg_005,,Licensed,Compliance Submission Pending
ent_030,Pioneer Finance Group,Pioneer Finance Group LLC,NOPS-LTD-02030,44407,"Delaware, United States",Private Limited Company,"10029 Main Street, Orlando, FL, USA",https://pioneerfinancegroup.example.com,reg_003,,Licensed,Under Active Review
ent_031,Liberty Capital,Liberty Capital LLC,FDBS-AG-02100,43792,"Delaware, United States",Aktiengesellschaft (AG),"10030 Main Street, Milwaukee, WI, USA",https://libertycapital.example.com,reg_007,,Licensed,Ready for Compliance Check
ent_032,Liberty Financial,Liberty Financial LLC,ECFS-LTD-02204,44058,"Delaware, United States",Private Limited Company,"10031 Main Street, St. Louis, MO, USA",https://libertyfinancial.example.com,reg_004,,Licensed,Compliance Submission Pending
ent_033,Liberty Investments,Liberty Investments LLC,GSTT-INC-02315,44246,"Delaware, United States",Incorporated Company,"10032 Main Street, Raleigh, NC, USA",https://libertyinvestments.example.com,reg_006,,Licensed,Under Active Review
ent_034,Liberty Holdings,Liberty Holdings LLC,WFIC-CORP-02448,45111,"Delaware, United States",Royal Chartered Corporation,"10033 Main Street, Richmond, VA, USA",https://libertyholdings.example.com,reg_008,,Licensed,Ready for Compliance Check
ent_035,Liberty Advisors,Liberty Advisors LLC,SIFT-PLC-02521,43953,"Delaware, United States",Public Limited Company,"10034 Main Street, Albany, NY, USA",https://libertyadvisors.example.com,reg_001,,Licensed,Compliance Submission Pending
ent_036,Liberty Trust,Liberty Trust LLC,SIS-LTD-02603,44826,"Delaware, United States",Private Limited Company,"10035 Main Street, Boulder, CO, USA",https://libertytrust.example.com,reg_002,,Licensed,Under Active Review
ent_037,Liberty Partners,Liberty Partners LLC,TSGT-INC-02744,44547,"Delaware, United States",Incorporated Company,"10036 Main Street, Madison, WI, USA",https://libertypartners.example.com,reg_003,,Licensed,Ready for Compliance Check
ent_038,Liberty Capital Management,Liberty Capital Management LLC,SAFT-INC-02888,45167,"Delaware, United States",Incorporated Company,"10037 Main Street, New Orleans, LA, USA",https://libertycapitalmanagement.example.com,reg_005,,Licensed,Compliance Submission Pending
ent_039,Liberty Asset Management,Liberty Asset Management LLC,WWFS-LTD-02901,44773,"Delaware, United States",Private Limited Company,"10038 Main Street, Sacramento, CA, USA",https://libertyassetmanagement.example.com,reg_007,,Licensed,Under Active Review
ent_040,Liberty Finance Group,Liberty Finance Group LLC,PITC-CORP-03024,44982,"Delaware, United States",Planetary Corporation,"10039 Main Street, Boise, ID, USA",https://libertyfinancegroup.example.com,reg_004,,Licensed,Ready for Compliance Check
ent_041,Frontier Capital,Frontier Capital LLC,JIP-LLP-03167,44723,"Delaware, United States",Limited Liability Partnership,"10040 Main Street, Anchorage, AK, USA",https://frontiercapital.example.com,reg_006,,Licensed,Compliance Submission Pending
ent_042,Frontier Financial,Frontier Financial LLC,MDVS-LTD-03289,44337,"Delaware, United States",Private Limited Company,"10041 Main Street, Honolulu, HI, USA",https://frontierfinancial.example.com,reg_008,,Licensed,Under Active Review
ent_043,Frontier Investments,Frontier Investments LLC,XGPS-INC-03356,44505,"Delaware, United States",Incorporated Company,"10042 Main Street, Charleston, SC, USA",https://frontierinvestments.example.com,reg_001,,Licensed,Ready for Compliance Check
ent_044,Frontier Holdings,Frontier Holdings LLC,HOEL-LTD-03477,44304,"Delaware, United States",Private Limited Company,"10043 Main Street, Providence, RI, USA",https://frontierholdings.example.com,reg_002,,Licensed,Compliance Submission Pending
ent_045,Frontier Advisors,Frontier Advisors LLC,ITBC-CORP-03577,44851,"Delaware, United States",Royal Chartered Corporation,"10044 Main Street, Manchester, NH, USA",https://frontieradvisors.example.com,reg_003,,Licensed,Under Active Review
